City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,princeville,45.7668,-61.2985,19.81,95,100,5.66,CA,1691614791
339,korsakov,46.6328,142.7813,15.91,93,100,4.43,RU,1691615010
340,san patricio,28.017,-97.5169,39.54,44,0,9.62,US,1691615010
341,broken hill,-31.95,141.4333,10.44,82,40,4.48,AU,1691614953
342,fort bragg,35.139,-79.006,32.75,44,20,1.34,US,1691614949
343,guerrero negro,27.9769,-114.0611,27.82,58,13,7.89,MX,1691615010
344,goz beida,13.95,20.55,24.1,85,100,3.65,TD,1691615011
345,kamensk-ural'skiy,56.4185,61.9329,16.61,82,71,3.11,RU,1691615011
346,pundong,-7.9522,110.3486,20.58,89,88,1.66,ID,1691615011
347,st. john's,47.5649,-52.7093,14.88,84,75,6.17,CA,1691614892
348,orsta,62.2029,6.1272,11.31,93,100,0.0,NO,1691615003
349,dunedin,-45.8742,170.5036,4.89,68,39,2.68,NZ,1691614869
350,kikwit,-5.041,18.8162,29.66,35,99,1.03,CD,1691615011
351,jabat,7.75,168.9751,27.9,76,68,3.92,MH,1691615070
352,bubaque,11.2833,-15.8333,27.24,82,74,3.14,GW,1691615070
353,paidha,2.4167,30.9855,16.79,77,1,1.06,UG,1691615070
354,ulsteinvik,62.3432,5.8487,12.64,91,100,4.47,NO,1691615070
355,buloh kasap,2.5536,102.764,23.58,95,95,0.87,MY,1691615070
356,praia da vitoria,38.7333,-27.0667,26.14,78,20,3.38,PT,1691615071
357,san ramon,37.7799,-121.978,30.95,50,0,5.14,US,1691615008
358,massagno,46.0156,8.9453,21.48,78,0,0.89,CH,1691615071
359,cacheu,12.2706,-16.1658,29.05,81,86,2.34,GW,1691615072
360,winnemucca,40.973,-117.7357,33.03,12,0,5.66,US,1691615072
361,namibe,-15.1961,12.1522,17.69,88,64,3.11,AO,1691615072
